name,,count
Ukraine,1338063.5,17031145.5
Ukraine,346832.5,17031145.5
Ukraine,2185754,17031145.5
United Arab Emirates,38531,3455586.5
United Arab Emirates,952015.5,3455586.5
United Arab Emirates,55817,3455586.5
United Arab Emirates,138399,3455586.5
United Arab Emirates,78289,3455586.5
United Arab Emirates,352500.5,3455586.5
United Arab Emirates,581861,3455586.5
United Arab Emirates,1258173.5,3455586.5
United Kingdom,59065,24750143
United Kingdom,315449.5,24750143
United Kingdom,384417,24750143
United Kingdom,492120.5,24750143
United Kingdom,295272.5,24750143
United Kingdom,18691,24750143
United Kingdom,83285.5,24750143
United Kingdom,232611,24750143
United Kingdom,69270,24750143
United Kingdom,395993,24750143
United Kingdom,257752,24750143
United Kingdom,398611,24750143
United Kingdom,397708.5,24750143
United Kingdom,922800,24750143
United Kingdom,9652,24750143
United Kingdom,57277.5,24750143
United Kingdom,186577,24750143
United Kingdom,39654,24750143
United Kingdom,151013.5,24750143
United Kingdom,279374.5,24750143
United Kingdom,348292,24750143
United Kingdom,92679,24750143
United Kingdom,108242,24750143
United Kingdom,128488,24750143
United Kingdom,297398.5,24750143
United Kingdom,82635,24750143
United Kingdom,12899,24750143
United Kingdom,18150.5,24750143
United Kingdom,151574.5,24750143
United Kingdom,207946.5,24750143
United Kingdom,31044,24750143
United Kingdom,70571,24750143
United Kingdom,239436,24750143
United Kingdom,139012,24750143
United Kingdom,184196,24750143
United Kingdom,321004.5,24750143
United Kingdom,5826.5,24750143
United Kingdom,42956.5,24750143
United Kingdom,173681,24750143
United Kingdom,214813.5,24750143
United Kingdom,323676,24750143
United Kingdom,140141,24750143
United Kingdom,565650,24750143
United Kingdom,325610,24750143
United Kingdom,32270,24750143
United Kingdom,470378.5,24750143
United Kingdom,537191,24750143
United Kingdom,639972.5,24750143
United Kingdom,603750,24750143
United Kingdom,7147,24750143
United Kingdom,992061.5,24750143
United Kingdom,5604,24750143
United Kingdom,1312757.5,24750143
United Kingdom,1634666.5,24750143
United Kingdom,362588,24750143
United Kingdom,885134,24750143
United Kingdom,7994104.5,24750143
United States of America,24004.5,162665650
United States of America,45731.5,162665650
United States of America,19063.5,162665650
United States of America,18432,162665650
United States of America,21202.5,162665650
United States of America,8215.5,162665650
United States of America,3975.5,162665650
United States of America,5277.5,162665650
United States of America,4213.5,162665650
United States of America,5079,162665650
United States of America,7312,162665650
United States of America,11644.5,162665650
United States of America,1028,162665650
United States of America,82331,162665650
United States of America,16993.5,162665650
United States of America,363360.5,162665650
United States of America,9746.5,162665650
United States of America,38396.5,162665650
United States of America,762217.5,162665650
United States of America,55442.5,162665650
United States of America,298257,162665650
United States of America,104291,162665650
United States of America,548,162665650
United States of America,26221,162665650
United States of America,297554,162665650
United States of America,42396.5,162665650
United States of America,361806.5,162665650
United States of America,133367.5,162665650
United States of America,11272,162665650
United States of America,431966.5,162665650
United States of America,106142.5,162665650
United States of America,1993,162665650
United States of America,15523,162665650
United States of America,6479,162665650
United States of America,15521,162665650
United States of America,42917.5,162665650
United States of America,55531.5,162665650
United States of America,6351.5,162665650
United States of America,11578,162665650
United States of America,13646,162665650
United States of America,7308.5,162665650
United States of America,4960,162665650
United States of America,6742,162665650
United States of America,6054,162665650
United States of America,22886,162665650
United States of America,81343,162665650
United States of America,25287.5,162665650
United States of America,10938.5,162665650
United States of America,26284,162665650
United States of America,42536.5,162665650
United States of America,324221.5,162665650
United States of America,88020,162665650
United States of America,27494.5,162665650
United States of America,51289,162665650
United States of America,20638.5,162665650
United States of America,4258.5,162665650
United States of America,130695,162665650
United States of America,18083,162665650
United States of America,30155.5,162665650
United States of America,45208.5,162665650
United States of America,8269,162665650
United States of America,24935,162665650
United States of America,45963.5,162665650
United States of America,24467.5,162665650
United States of America,19894,162665650
United States of America,45212,162665650
United States of America,2311,162665650
United States of America,56019,162665650
United States of America,77065,162665650
United States of America,270171,162665650
United States of America,34985,162665650
United States of America,108156.5,162665650
United States of America,58553.5,162665650
United States of America,75658,162665650
United States of America,243291,162665650
United States of America,86749,162665650
United States of America,21122,162665650
United States of America,45270,162665650
United States of America,32263,162665650
United States of America,20261,162665650
United States of America,6429.5,162665650
United States of America,1797,162665650
United States of America,23987,162665650
United States of America,11574.5,162665650
United States of America,5662,162665650
United States of America,15023.5,162665650
United States of America,6763.5,162665650
United States of America,55717.5,162665650
United States of America,388767.5,162665650
United States of America,76687.5,162665650
United States of America,545107.5,162665650
United States of America,61236,162665650
United States of America,434781.5,162665650
United States of America,174236,162665650
United States of America,115082.5,162665650
United States of America,287003.5,162665650
United States of America,188982,162665650
United States of America,45202,162665650
United States of America,8183,162665650
United States of America,61881,162665650
United States of America,40806.5,162665650
United States of America,68435,162665650
United States of America,170870,162665650
United States of America,60673,162665650
United States of America,189374.5,162665650
United States of America,248538,162665650
United States of America,185548,162665650
United States of America,56806,162665650
United States of America,91887.5,162665650
United States of America,45030,162665650
United States of America,16094.5,162665650
